data_key,data_id,data_name,extend
c,1,内地,
FILM_AREA,4,其他,
FILM_AREA,3,欧美,
FILM_AREA,2,港台,
FILM_TYPE,12,悬疑,
FILM_TYPE,10,恐怖,
FILM_TYPE,3,喜剧,
FILM_TYPE,1,爱情,
FILM_TYPE,4,伦理,
FILM_TYPE,5,歌舞,
FILM_TYPE,6,动漫,
FILM_TYPE,7,武侠,
FILM_TYPE,8,古装,
FILM_TYPE,20,魔幻,
FILM_TYPE,2,剧情,
FILM_TYPE,13,记录,
FILM_TYPE,14,战争,
FILM_TYPE,15,历史,
FILM_TYPE,16,传记,
FILM_TYPE,17,体育,
FILM_TYPE,18,冒险,
FILM_TYPE,19,科幻,
FILM_TYPE,11,犯罪,
FILM_TYPE,9,动作,
